Classes,Ratio R2,Jawline Width D5,Ratio R3,angle A1,Forehead width D2,face length D3,chin_width D6,angle A2,Ratio R1,Ratio R8,Ratio R7,Ratio R3,Ratio R4,Ratio R5,Ratio R6,Ratio R9,Ratio R10,cheekbone width D1,jawline length D4,chin shape D7,angle A3
heart,0.821285261,111,0.731089417,54.06650274,122.07,166.97,59.01,45.41621953,0.890177204,0.909314328,0.430321593,0.731089417,1.235405405,0.531621622,1.145907473,0.609189189,0.525673615,137.13,67.62,31.02,68.20315246
heart,0.799813925,422.52,0.679888355,54.82348742,438.46,644.9,223.11,45.51401146,0.850058162,0.963645486,0.432551377,0.679888355,1.220770614,0.52804601,1.124109184,0.593581369,0.525077316,515.8,250.8,117.15,70.59473795
heart,0.774831951,184.02,0.706725356,51.71795937,207.12,293.07,100.04,40.10647294,0.912101462,0.888470452,0.440549586,0.706725356,1.233996305,0.543636561,1.116753299,0.607107923,0.529888045,227.08,111.72,53.01,70.95802814
heart,0.760780745,670.32,0.696648142,64.55791904,719.54,1032.86,372.06,53.96603591,0.915701596,0.931595186,0.473491308,0.696648142,1.172246091,0.555048335,1.167580498,0.648063611,0.522603881,785.78,434.41,194.44,74.19945109
heart,0.725573492,96.05,0.677733481,63.54112444,103.7,153.01,55.04,53.15279425,0.934065934,0.926229508,0.495766529,0.677733481,1.155856325,0.573034878,1.079396802,0.618532015,0.509084302,111.02,59.41,28.02,75.39732092
heart,0.793010221,202.55,0.741081438,63.19079215,224.77,303.3,114.98,49.96586232,0.93451688,0.901143391,0.478047564,0.741081438,1.187459886,0.567662306,1.063924161,0.603949642,0.517829188,240.52,122.33,59.54,73.80215702
heart,0.71693846,204.63,0.660695155,66.89599282,222.02,336.04,119.34,53.16839956,0.921550722,0.921673723,0.495351154,0.660695155,1.177344475,0.583198944,1.089324619,0.635292968,0.537958773,240.92,130,64.2,73.83938478
heart,0.787615426,122.07,0.718033677,58.77456762,132.19,184.1,68.03,46.87530946,0.911655172,0.923443528,0.469172414,0.718033677,1.187843041,0.557303187,1.114508305,0.62111903,0.543877701,145,75.82,37,72.61403967
heart,0.826284819,559.18,0.751024553,68.27851769,613.91,817.43,307.01,57.18537476,0.908917282,0.910850125,0.454540071,0.751024553,1.207893701,0.549036089,1.227354158,0.673861726,0.518061301,675.43,376.81,159.05,71.11085459
heart,0.80845174,613.39,0.737980925,63.06363069,682.47,924.78,335.21,52.49254312,0.912832379,0.898779434,0.448357498,0.737980925,1.218865648,0.546487553,1.15429134,0.630805849,0.53142806,747.64,386.93,178.14,70.70786698
heart,0.832313586,235.59,0.755861162,70.39577857,264.37,349.76,129.29,58.30616336,0.908144688,0.891137421,0.444127649,0.755861162,1.235663653,0.548792394,1.29027767,0.708094571,0.529429964,291.11,166.82,68.45,70.04338845
heart,0.723094721,377.13,0.669894296,61.71558489,422.71,631.01,219.06,47.60267728,0.926426756,0.892171938,0.480099939,0.669894296,1.209874579,0.580860711,1.156486807,0.671757749,0.529535287,456.28,253.34,116,72.33210089
heart,0.785337727,124.06,0.731685887,68.25659762,133.24,182.1,70.06,56.50430975,0.931683099,0.931101771,0.489895811,0.731685887,1.15274867,0.564726745,1.089351984,0.6151862,0.528832429,143.01,76.32,37.05,74.24421595
heart,0.810257392,273.12,0.738493924,53.82333205,308.72,418.04,148.01,42.7603246,0.911431271,0.884685152,0.436968588,0.738493924,1.240187463,0.541922964,1.099520303,0.595855302,0.527396798,338.72,162.74,78.06,68.66644255
heart,0.754635925,204.09,0.698819384,62.48799738,226.11,323.56,115.11,48.8754062,0.926035139,0.902613772,0.471433837,0.698819384,1.196383948,0.564015875,1.120840935,0.632172081,0.521848666,244.17,129.02,60.07,74.20796376
heart,0.757086852,205.09,0.675934861,54.74331049,224.14,331.6,114.21,43.2170613,0.892810197,0.915008477,0.454929297,0.675934861,1.224096738,0.556877468,1.059189213,0.589838607,0.525960949,251.05,120.97,60.07,70.16770583
heart,0.76487505,130.1,0.714299881,60.79167839,144.06,201.68,73.01,49.53726506,0.933877869,0.903095932,0.473291845,0.714299881,1.185703305,0.561183705,1.029584988,0.577786318,0.534310368,154.26,75.17,39.01,72.09414481
heart,0.720635998,124.58,0.678704736,63.37360433,140.01,206.29,72.44,48.94714785,0.941813534,0.889793586,0.487286425,0.678704736,1.193289453,0.581473752,1.141082275,0.663509392,0.541137493,148.66,82.66,39.2,74.08587908
heart,0.754855764,165.15,0.725778646,61.52467663,189.45,261.03,95.13,47.82659994,0.961479903,0.871733967,0.482795371,0.725778646,1.193097184,0.576021798,1.035320088,0.596366939,0.526542626,197.04,98.49,50.09,73.1945473
heart,0.749211356,193.01,0.730941115,59.51566331,222.44,304.32,111.07,47.43537445,0.975614035,0.867694659,0.487149123,0.730941115,1.181285944,0.575462411,1.080129648,0.621574012,0.522463311,228,119.97,58.03,74.43210172
heart,0.801683262,288.03,0.734945472,62.29940178,310,421.8,161.01,50.26622949,0.91675292,0.929129032,0.476149638,0.734945472,1.174009652,0.55900427,1.062107944,0.593722876,0.528041737,338.15,171.01,85.02,74.30132492
heart,0.718985078,345.64,0.648950534,60.59480202,370.09,570.29,200.42,47.03860607,0.902592493,0.933934989,0.488793503,0.648950534,1.186292096,0.579851869,1.130775372,0.655682213,0.54530486,410.03,226.63,109.29,74.67123362
heart,0.837327634,268.03,0.762784308,65.37942179,299.82,393.06,146.03,54.4133528,0.91097472,0.893969715,0.443698347,0.762784308,1.227922248,0.544827072,1.194275149,0.650673432,0.514003972,329.12,174.4,75.06,69.02705829
heart,0.798387097,84,0.736693548,64.90208755,91.35,124,46,54.92437493,0.922727273,0.91954023,0.464646465,0.736693548,1.178571429,0.547619048,1.121956522,0.614404762,0.52173913,99,51.61,24,74.93151184
heart,0.802411067,171.03,0.750434783,65.14287035,189.86,253,97.08,53.13362706,0.935224866,0.900821658,0.478203044,0.750434783,1.18698474,0.567619716,1.058920478,0.601064141,0.525751957,203.01,102.8,51.04,73.34471148
heart,0.75045601,167.2,0.668878798,68.74949449,172.35,257.67,96.88,55.67944721,0.891296478,0.970118944,0.501008429,0.668878798,1.156519139,0.579425837,1.057184145,0.612559809,0.532824112,193.37,102.42,51.62,74.81972275
heart,0.825575558,95.01,0.788926343,56.22640519,110,139.43,53,43.20154252,0.95560768,0.863727273,0.460429155,0.788926343,1.211556678,0.557836017,1.121886792,0.62582886,0.528301887,115.11,59.46,28,71.71729824
heart,0.744539957,704.39,0.629434883,65.40451913,701.48,1114.46,402.99,52.09778686,0.84540108,1.004148372,0.485670555,0.629434883,1.177983787,0.57211204,1.16863942,0.668592683,0.538772674,829.76,470.95,217.12,74.17314546
heart,0.784923077,87.05,0.728,65.81716329,94.64,130,49.04,53.13677979,0.92747942,0.919801352,0.480595845,0.728,1.172199885,0.563354394,1.076672104,0.606547961,0.530587276,102.04,52.8,26.02,73.24682752
heart,0.784871795,132.06,0.736358974,64.42845583,143.59,195,73.01,52.26760649,0.938190134,0.919701929,0.477033649,0.736358974,1.158942905,0.552854763,1.103958362,0.610328638,0.520476647,153.05,80.6,38,75.50779547
heart,0.796549201,331.36,0.768768036,66.90800687,378.28,492.06,186.78,54.21963484,0.965123102,0.875964894,0.476540375,0.768768036,1.182852487,0.563676968,1.09294357,0.616067117,0.517346611,391.95,204.14,96.63,73.70208554
heart,0.803977073,470.05,0.709099103,54.93809905,503.51,710.07,254.79,44.58386061,0.88198921,0.933546504,0.446310959,0.709099103,1.214509095,0.542048718,1.098865733,0.595638762,0.524549629,570.88,279.98,133.65,72.14032286
